objectid,parent id,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb,image_alt_text,object_transcript
landplats_031,landplats_029,Lucius Fishburne's Plantations Notes: St. Bartholomew Parish,South Carolina Historical Society,1850,John Witsell owns Sycamore plantation from 1802- 1870. Prior to him Haynes owns it. After him Frasers own it.,Sycamore plantation,Colleton County S.C,32.81275,-80.475556,Plantations Notes: St. Bartholomew Parish,South Carolina Historical Society Records,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,SCHS_Lucius_Fishburne_Sycamore_3.jpeg,/objects/SCHS_Lucius_Fishburne_Sycamore_3.jpeg,/objects/small/schs_lucius_fishburne_sycamore_3_sm.jpg,/objects/thumbs/schs_lucius_fishburne_sycamore_3_th.jpg,,
landplats_032,,Preston Plantation,South Carolina Historical Society,1850,"Preston Plantation changes hands between Lowndes, Fraser and Verdiers",Preston Plantation,Colleton County S.C,32.834417,-80.521917,South Carolina Historical Society,South Carolina Historical Society Records,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,SCHS_Preston_Tract_2.jpg,/objects/SCHS_Preston_Tract_2.jpg,/objects/small/schs_preston_tract_2_sm.jpg,/objects/thumbs/schs_preston_tract_2_th.jpg,,
landplats_033,,The Trailer,Shaneda Destine private collection,2026,The Trailer,Holmes Hairs Property,"Round O,Colleton County,South Carolina",32.81275,-80.4963895,Shaneda Destine Private Collection,Shaneda Destine,Image: Stillimage,jpeg,eng,materials produced by Shaneda Destine,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Trailer_wall.JPG,/objects/Trailer_wall.JPG,/objects/small/trailer_wall_sm.jpg,/objects/thumbs/trailer_wall_th.jpg,,
landplats_034,,Willie Witsell and siblings Sell 5 acres to sibli Mary,Colleton County Register of Deeds,1924,Cuffy Witsell Sr. Original 25 acres,Cuffy Sr.'s heirs sell to each other,"Round O,Colleton County,South Carolina",32.87907345,-80.5135,Colleton County Register of Deeds,colleton County,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1924_Willie_and_Sibs_sell_to_Mary.jpg,/objects/1924_Willie_and_Sibs_sell_to_Mary.jpg,/objects/small/1924_willie_and_sibs_sell_to_mary_sm.jpg,/objects/thumbs/1924_willie_and_sibs_sell_to_mary_th.jpg,,
landplats_035,,Willie Witsell and siblings Sell 5 acres to sibling in law Lewis,Colleton County Register of Deeds,1924,Cuffy Witsell Sr. Original 25 acres,Cuffy Sr.'s heirs sell to each other,"Round O,Colleton County,South Carolina",32.853583,-80.5135,Colleton County Register of Deeds,colleton County,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1924_Willie_and_sibs_sell_to_Lewis.jpg,/objects/1924_Willie_and_sibs_sell_to_Lewis.jpg,/objects/small/1924_willie_and_sibs_sell_to_lewis_sm.jpg,/objects/thumbs/1924_willie_and_sibs_sell_to_lewis_th.jpg,,
landplats_036,,Willie Witsell and siblings  Sell 5 acres to sibling Peggy,Colleton County Register of Deeds,1924,Cuffy Witsell Sr. Original 25 acres,Cuffy Sr.'s heirs sell to each other,"Round O,Colleton County,South Carolina",32.853583,-80.5135,Colleton County Register of Deeds,colleton County,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1925_Willie_and_sibs_sell_to_Peggy.jpg,/objects/1925_Willie_and_sibs_sell_to_Peggy.jpg,/objects/small/1925_willie_and_sibs_sell_to_peggy_sm.jpg,/objects/thumbs/1925_willie_and_sibs_sell_to_peggy_th.jpg,,
landplats_037,,Willie Witsell 1930 Census,United States Census Bureau,1930,Willie Witsell and Rosa Blake Census,Willie Witsell and Rosa Census,"Round O,Colleton County,South Carolina",32.853583,-80.5135,United States Census Bureau,"Glover Township, Colleton County",Image: Stillimage,jpeg,eng,materials produced by U.S. Census B,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1930_Census_Willie_Witsell.jpg,/objects/1930_Census_Willie_Witsell.jpg,/objects/small/1930_census_willie_witsell_sm.jpg,/objects/thumbs/1930_census_willie_witsell_th.jpg,,
landplats_038,,Willie Witsell 1930 Census,Colleton County Register of Deeds,1940,Willie Witsell and Rosa Blake Census,Willie Witsell and Rosa Census,"Round O,Colleton County,South Carolina",32.853583,-80.5135,United States Census Bureau,"Glover Township, Colleton County",Image: Stillimage,jpeg,eng,materials produced by U.S. Census B,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1940_Census_Willie_Witsell.jpg,/objects/1940_Census_Willie_Witsell.jpg,/objects/small/1940_census_willie_witsell_sm.jpg,/objects/thumbs/1940_census_willie_witsell_th.jpg,,
landplats_039,,Mary Osborne purchases 5 acres of Cuffy Jr.'s land,,1934,"Mary Osborne, Cuffy Witsell Jr.'s 5 acres from PB Ackerman",Mary Purchases 5 of the 100 of Cuffy Jr.'s acres from PB Ackerman,"Round O,Colleton County,South Carolina",32.854167,-80.486917,Colleton County Register of Deeds,"Glover Township, Colleton County",Image: Stillimage,JPG,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Colleton_Deeds__Mary_Osborne_5_acres_from_Ackerman.jpg,/objects/Colleton_Deeds__Mary_Osborne_5_acres_from_Ackerman.jpg,/objects/small/colleton_deeds__mary_osborne_5_acres_from_ackerman_sm.jpg,/objects/thumbs/colleton_deeds__mary_osborne_5_acres_from_ackerman_th.jpg,,
landplats_040,,Trinity AME Church,Trinity,2025,Trinity AME,Church,"Round O,Colleton County,South Carolina",32.86624801,-80.48910538,"Round O, South Carolina",Round O SC,Image: Stillimage,jpeg,eng,materials produced by Shaneda Destine,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Trinity_AME_1.jpg,/objects/Trinity_AME_1.jpg,/objects/small/trinity_ame_1_sm.jpg,/objects/thumbs/trinity_ame_1_th.jpg,,
